sex agemon l m s
1 0 1.26700422 49.988884 0.0531121
1 0.5 0.51123769 52.6959753 0.0486926
1 1.5 -0.4522444 56.6284285 0.0441168
1 2.5 -0.9905945 59.6089534 0.0417955
1 3.5 -1.2858376 62.0770002 0.0404541
1 4.5 -1.4303123 64.2168641 0.0396338
1 5.5 -1.4765754 66.1253149 0.0391238
1 6.5 -1.4568378 67.8601799 0.0388119
1 7.5 -1.3918987 69.4590845 0.0386332
1 8.5 -1.2957145 70.9480391 0.0385468
1 9.5 -1.177919 72.3458611 0.0385262
1 10.5 -1.045326 73.6666541 0.0385533
1 11.5 -0.9028008 74.9212971 0.0386155
1 12.5 -0.7539081 76.1183753 0.0387034
1 13.5 -0.6012635 77.2647991 0.0388105
1 14.5 -0.446805 78.366223 0.0389317
1 15.5 -0.2919747 79.4273405 0.0390633
1 16.5 -0.1378476 80.4520949 0.0392023
1 17.5 0.01477615 81.443836 0.0393466
1 18.5 0.16530416 82.4054364 0.0394943
1 19.5 0.3133018 83.3393806 0.0396442
1 20.5 0.45845547 84.2478339 0.0397951
1 21.5 0.60054463 85.1326965 0.0399463
1 22.5 0.73943895 85.9956488 0.0400971
1 23.5 0.87500044 86.8381751 0.040247
1 24.5 1.00720807 87.6616093 0.0403956
1 25.5 0.83725135 88.4524728 0.0405775
1 26.5 0.68149297 89.2232643 0.0407231
1 27.5 0.53877965 89.9754922 0.0408331
1 28.5 0.40769715 90.7104085 0.040909
1 29.5 0.28676245 91.4290776 0.0409524
1 30.5 0.17448948 92.1324237 0.0409653
1 31.5 0.06944452 92.8212716 0.0409499
1 32.5 -0.0297205 93.4963794 0.0409087
1 33.5 -0.1242517 94.1584654 0.040844
1 34.5 -0.2152883 94.8082292 0.0407584
1 35.5 -0.3038543 95.4463698 0.0406543
1 36.5 -0.3909183 96.073591 0.0405341
2 0 -1.2959608 49.2863961 0.0500855
2 0.5 -0.8092498 51.6835805 0.0468185
2 1.5 -0.0507829 55.2861281 0.0434439
2 2.5 0.4768514 58.093819 0.0417161
2 3.5 0.84329961 60.4598076 0.0407051
2 4.5 1.09756225 62.5366965 0.0400797
2 5.5 1.27250964 64.4063276 0.0396868
2 6.5 1.39042885 66.1184155 0.0394445
2 7.5 1.46673392 67.7057441 0.0393047
2 8.5 1.51230197 69.1912361 0.0392371
2 9.5 1.53495076 70.5916392 0.0392216
2 10.5 1.54039087 71.9196167 0.0392446
2 11.5 1.53285289 73.1850104 0.0392964
2 12.5 1.51550947 74.3956437 0.0393698
2 13.5 1.49076502 75.5578544 0.0394598
2 14.5 1.46045825 76.6768587 0.0395623
2 15.5 1.426006 77.7570098 0.0396745
2 16.5 1.38850709 78.801984 0.039794
2 17.5 1.34881812 79.8149185 0.0399189
2 18.5 1.30760965 80.7985153 0.040048
2 19.5 1.26540814 81.7551209 0.0401801
2 20.5 1.22262773 82.6867881 0.0403143
2 21.5 1.17959436 83.5953246 0.0404499
2 22.5 1.13656444 84.482332 0.0405862
2 23.5 1.09373194 85.3492362 0.040723
2 24.5 1.05127291 86.1973169 0.0408597
2 25.5 1.04195117 87.0902631 0.0411421
2 26.5 1.01259223 87.9571418 0.0413493
2 27.5 0.9705419 88.7960184 0.0415004
2 28.5 0.92112998 89.6055115 0.0416105
2 29.5 0.86822139 90.3847668 0.0416917
2 30.5 0.81454413 91.1334172 0.0417536
2 31.5 0.76195797 91.8515436 0.0418035
2 32.5 0.71166022 92.5396352 0.0418468
2 33.5 0.66432337 93.1985442 0.0418876
2 34.5 0.6202851 93.8294539 0.0419285
2 35.5 0.57955631 94.4338227 0.0419715
2 36.5 0.54198094 95.013357 0.0420175
